country,region,year,hours_worked,hours_worked_men,hours_worked_women,hours_worker,hours_worker_men,hours_worker_women
Kenya,Sub-Saharan Africa,2005,22.1824722290039,26.6526031494141,17.9201278686523,38.9453582763672,42.086051940918,35.2181701660156
Kenya,Sub-Saharan Africa,2016,29.1583518981934,33.8527221679688,24.6905193328857,40.2998771667481,44.8391380310059,35.5973739624023
Kenya,Sub-Saharan Africa,2021,25.0852909088135,30.3446502685547,20.3459777832031,38.675350189209,42.7581787109375,34.2766304016113
Kyrgyzstan,Eastern Europe and ex-USSR,1997,21.3472518920898,27.3770008087158,15.8513050079346,44.1529998779297,46.083122253418,41.4597702026367
Kyrgyzstan,Eastern Europe and ex-USSR,2010,20.7819290161133,26.2180824279785,15.628830909729,36.5087661743164,38.4897651672363,33.7467727661133
Kyrgyzstan,Eastern Europe and ex-USSR,2011,21.1398220062256,26.8919506072998,15.6870384216309,36.0873184204102,38.2727394104004,33.0230102539063
Kyrgyzstan,Eastern Europe and ex-USSR,2012,20.9798049926758,26.5380725860596,15.7051219940186,36.2526206970215,38.0252494812012,33.7311058044434
Kyrgyzstan,Eastern Europe and ex-USSR,2013,20.356071472168,26.3513793945313,14.6598291397095,36.831974029541,38.6050682067871,34.153003692627
Kyrgyzstan,Eastern Europe and ex-USSR,2014,20.709846496582,26.7039680480957,15.0125417709351,36.856315612793,39.1258239746094,33.5646476745606
Kyrgyzstan,Eastern Europe and ex-USSR,2015,21.3082866668701,27.5624694824219,15.3594608306885,37.3751678466797,39.6562271118164,34.0337028503418
Kyrgyzstan,Eastern Europe and ex-USSR,2016,21.5058479309082,27.9287528991699,15.3915929794312,37.835018157959,39.7436180114746,34.9369277954102
Kyrgyzstan,Eastern Europe and ex-USSR,2017,21.2049160003662,27.8977870941162,14.8291254043579,38.5678825378418,40.0461235046387,36.1747512817383
Kyrgyzstan,Eastern Europe and ex-USSR,2018,21.8384780883789,28.7717819213867,15.2359666824341,39.1404914855957,40.8235702514649,36.4388732910156
Kyrgyzstan,Eastern Europe and ex-USSR,2019,21.8681621551514,29.1811180114746,14.894362449646,39.2883033752441,41.2251472473145,36.1179237365723
Kyrgyzstan,Eastern Europe and ex-USSR,2020,20.116943359375,26.6910743713379,13.8464336395264,37.3201637268066,39.439826965332,33.963996887207
Kyrgyzstan,Eastern Europe and ex-USSR,2021,22.0109577178955,29.6491947174072,14.7167320251465,39.3148040771484,41.5107002258301,35.683162689209
Kyrgyzstan,Eastern Europe and ex-USSR,2022,22.2972717285156,29.6373081207275,15.2910203933716,39.5619049072266,41.7717704772949,36.0349731445313
Kyrgyzstan,Eastern Europe and ex-USSR,2023,21.6594848632813,28.7444839477539,14.9908857345581,39.4309730529785,41.6505279541016,35.9713821411133
Cambodia,East and Southeast Asia,2000,37.2593002319336,38.9707946777344,35.7725639343262,48.7544975280762,49.2927398681641,48.2561187744141
Cambodia,East and Southeast Asia,2001,37.0300521850586,38.6942176818848,35.5588912963867,45.25439453125,46.1096687316895,44.4591522216797
Cambodia,East and Southeast Asia,2012,31.1716995239258,35.161075592041,27.4998054504395,46.5575561523438,47.7019844055176,45.2791557312012
