year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2002,6.7,10075,FR,1,1927,76,0,,3,5,5,3,2,3,5,5,5,
2002,6.7,10076,FR,2,1919,84,0,,10,0,7,8,3,2,6,8,2,
2002,6.7,10077,FR,1,1956,47,0,,6,6,4,7,2,4,8,5,0,
2002,6.7,10078,FR,2,1975,28,0,,7,1,7,6,2,3,7,2,2,
2002,6.7,10079,FR,2,1982,21,0,,7,6,7,7,2,2,10,7,8,
2002,6.7,10080,FR,2,1938,65,0,,8,7,8,5,1,2,7,6,6,
2002,6.7,10081,FR,1,1985,18,0,,0,0,5,5,5,2,6,3,2,
2002,6.7,10082,FR,1,1939,64,0,,3,1,6,5,3,3,5,1,2,
2002,6.7,10083,FR,1,1926,77,0,,0,0,4,5,2,2,3,0,0,
2002,6.7,10084,FR,2,1943,60,0,,10,0,1,0,1,4,0,0,0,
2002,6.7,10085,FR,2,1966,37,0,,5,5,4,6,3,4,8,8,5,
2002,6.7,10086,FR,1,1934,69,0,,4,4,6,1,3,2,8,5,6,
2002,6.7,10087,FR,2,1950,53,0,,7,2,8,7,1,5,2,4,0,
2002,6.7,10088,FR,2,1933,70,0,,2,7,5,2,2,3,3,5,3,
2002,6.7,10089,FR,1,1937,66,0,,7,5,7,7,2,2,8,6,7,
2002,6.7,10090,FR,1,1965,38,0,,6,4,7,7,2,2,7,7,5,
2002,6.7,10091,FR,1,1973,30,0,,0,3,4,0,4,4,8,4,4,
2002,6.7,10092,FR,2,1974,29,0,,2,2,6,2,1,5,5,2,3,
2002,6.7,10093,FR,1,1952,51,0,,6,3,5,3,2,3,9,6,3,
2002,6.7,10094,FR,2,1948,55,0,,0,4,6,7,2,3,6,8,6,
2002,6.7,10095,FR,2,1949,54,0,,3,2,5,10,2,2,10,2,2,
2002,6.7,10096,FR,2,1970,33,0,,4,1,4,7,2,2,10,2,2,
2002,6.7,10097,FR,2,1956,47,0,,8,6,8,6,3,3,8,7,7,
2002,6.7,10098,FR,1,1983,20,0,,2,0,4,0,4,5,3,4,1,
2002,6.7,10099,FR,1,1973,30,0,,6,2,5,1,2,3,7,5,5,
2002,6.7,10100,FR,1,1966,37,0,,3,3,6,6,4,3,6,6,7,
2002,6.7,10101,FR,2,1943,60,0,,5,5,6,5,2,2,8,5,5,
2002,6.7,10102,FR,1,1933,70,0,,5,5,5,7,4,1,10,9,5,
2002,6.7,10103,FR,1,1972,31,0,,5,4,5,2,4,2,10,8,5,
2002,6.7,10104,FR,1,1973,30,0,,5,0,5,3,3,2,7,5,0,
2002,6.7,10105,FR,2,1971,32,0,,4,0,5,6,5,2,10,0,5,
2002,6.7,10106,FR,2,1985,18,0,,6,3,6,2,4,4,9,6,5,
2002,6.7,10107,FR,1,1981,22,0,,5,3,3,8,2,1,8,7,7,
2002,6.7,10108,FR,2,1968,35,0,,5,4,7,5,3,2,6,5,6,
2002,6.7,10109,FR,2,1928,75,0,,8,8,8,8,3,2,6,8,5,
2002,6.7,10110,FR,1,1981,22,0,,3,3,7,6,2,5,8,5,2,
2002,6.7,10111,FR,2,1918,85,0,,0,0,0,0,2,3,5,0,0,
2002,6.7,10112,FR,2,1984,19,0,,7,5,5,3,3,2,3,3,6,
2002,6.7,10113,FR,2,1930,73,0,,6,7,2,6,2,2,9,8,8,
2002,6.7,10114,FR,2,1964,39,0,,4,0,7,10,3,3,4,0,0,
2002,6.7,10115,FR,2,1943,60,0,,4,4,5,5,1,1,10,3,6,
2002,6.7,10116,FR,1,1969,34,0,,5,5,6,5,1,1,8,4,5,
2002,6.7,10117,FR,2,1974,29,0,,6,2,7,3,2,4,8,6,7,
2002,6.7,10118,FR,1,1932,71,0,,3,1,4,7,2,4,5,8,0,
2002,6.7,10119,FR,1,1962,41,0,,5,5,7,3,3,4,7,8,7,
2002,6.7,10120,FR,1,1973,30,0,,5,1,5,5,3,3,5,5,5,
2002,6.7,10121,FR,2,1921,82,0,,5,0,10,3,1,1,0,3,5,
2002,6.7,10122,FR,1,1949,54,0,,1,0,1,3,4,2,6,8,0,
2002,6.7,10123,FR,2,1963,40,0,,0,0,0,0,1,4,5,5,0,
2002,6.7,10124,FR,2,1950,53,0,,2,0,2,3,1,2,4,2,4,
2002,6.7,10125,FR,1,1924,79,0,,3,3,8,2,2,4,8,8,2,
2002,6.7,10126,FR,1,1943,60,0,,5,2,5,10,2,2,10,5,3,
2002,6.7,10127,FR,2,1938,65,0,,8,3,9,9,3,2,8,4,2,
2002,6.7,10128,FR,2,1952,51,0,,1,5,4,5,1,2,0,3,5,
2002,6.7,10129,FR,2,1972,31,0,,6,1,8,5,2,4,5,5,3,
2002,6.7,10130,FR,1,1925,78,0,,5,7,5,5,2,2,5,5,5,
2002,6.7,10131,FR,1,1968,35,0,,5,3,6,3,2,2,5,5,3,
2002,6.7,10132,FR,2,1943,60,0,,4,4,5,3,3,2,5,4,5,
