year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2023,4.1,71139,FR,1,1959,64,3,7,4,0,7,5,,,2,1,0,High school diploma or less
2023,4.1,71181,FR,1,1965,59,3,7,5,5,4,6,,,3,4,0,High school diploma or less
2023,4.1,71189,FR,1,2005,18,4,11,7,4,9,5,,,8,8,3,High school diploma or less
2023,4.1,71226,FR,1,1988,35,7,22,7,3,8,5,,,6,3,3,Masters degree or more
2023,4.1,71258,FR,2,1939,84,1,2,1,0,5,2,,,2,2,2,High school diploma or less
2023,4.1,71269,FR,1,1967,56,6,17,2,2,3,5,,,8,3,6,"Undergraduate degree (licence, licence pro)"
2023,4.1,71315,FR,2,1943,80,3,7,4,5,7,5,,,6,7,88,High school diploma or less
2023,4.1,71327,FR,1,1973,50,1,4,7,8,8,7,,,8,8,6,High school diploma or less
2023,4.1,71348,FR,1,1973,50,1,4,0,8,10,3,,,10,3,6,High school diploma or less
2023,4.1,71389,FR,2,1987,36,5,15,5,3,10,7,,,10,6,4,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,71390,FR,2,1967,57,6,17,5,6,8,4,,,4,6,6,"Undergraduate degree (licence, licence pro)"
2023,4.1,71506,FR,2,1968,55,4,11,5,2,3,7,,,3,3,4,High school diploma or less
2023,4.1,71542,FR,2,1958,65,3,7,3,2,3,3,,,3,4,0,High school diploma or less
2023,4.1,71567,FR,1,1987,37,7,23,3,6,7,3,,,8,7,7,Masters degree or more
2023,4.1,71571,FR,2,1987,36,3,7,5,5,7,6,,,8,0,4,High school diploma or less
2023,4.1,71575,FR,1,1952,71,5,15,5,5,5,5,,,6,5,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,71581,FR,1,1947,76,5,13,1,2,2,8,,,8,3,0,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,71616,FR,2,1977,46,3,7,4,5,6,4,,,7,3,4,High school diploma or less
2023,4.1,71675,FR,1,1973,50,5,16,5,0,8,5,,,7,0,0,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,71677,FR,1,1960,63,1,4,6,0,10,0,,,0,0,0,High school diploma or less
2023,4.1,71684,FR,2,1963,60,2,5,5,2,7,8,,,4,4,4,High school diploma or less
2023,4.1,71696,FR,1,1963,61,5,15,3,4,7,4,,,7,7,6,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,71731,FR,2,1958,65,5,14,8,0,8,5,,,7,6,0,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,71732,FR,2,2005,18,4,9,0,0,7,0,,,10,7,0,High school diploma or less
2023,4.1,71738,FR,1,1944,80,7,21,7,4,8,6,,,8,3,7,Masters degree or more
2023,4.1,71769,FR,2,1969,54,1,4,3,2,7,10,,,0,0,5,High school diploma or less
